Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.815952224138516,1.8082484993046855,1.7786320134213096,0.1967641771531296,0.3858617378780605,0.18697829716193656
2,1.722749616190973,1.7285675988773925,1.7680686273072894,0.36961377131339546,0.4417906865098416,0.24207011686143573
3,1.6733922338083966,1.6661914060761054,1.7376369488866705,0.39721450491184107,0.4164666346615458,0.2904841402337229
4,1.626566559336062,1.6074616181415697,1.7061608684690375,0.4146828639392784,0.4828372539606337,0.3055091819699499
5,1.5860152919925554,1.594220156861816,1.6702019133065875,0.4441357520291987,0.5020403264522324,0.3088480801335559
6,1.5540286194162962,1.5444137645088094,1.6567303287355524,0.46637976430426176,0.5099615938550168,0.34557595993322204
7,1.5311432720477467,1.5049205428121644,1.737643815969166,0.47838245174411215,0.5254440710513683,0.32220367278797996
8,1.5131234318485516,1.483923128378826,1.701656504681236,0.4863176626536653,0.5416466634661545,0.34891485809682804
9,1.496113446443182,1.4727435460932652,1.6883160189578408,0.5005901472644404,0.5394863178108498,0.3555926544240401
10,1.483213259929976,1.471157571404543,1.7282063741432994,0.5071997966261735,0.5357657225156025,0.33889816360601
11,1.4724304728352837,1.4372707215243246,1.6361164701612372,0.5144994643278676,0.5637301968314931,0.4090150250417362
12,1.4630576178197734,1.4637499410451718,1.6937744554720426,0.5242868297288954,0.5279644743158906,0.3806343906510851
13,1.4541897105311739,1.436284472640325,1.6774434196321588,0.5303880445243413,0.5442870859337494,0.3722871452420701
14,1.4453275731869175,1.4653659230688025,1.6924703089814437,0.5331481178841859,0.5103216514642342,0.36894824707846413
15,1.4398504348427386,1.4529508760703045,1.6847541238132275,0.5379237711318117,0.5255640902544407,0.3572621035058431
16,1.4180955957839962,1.430445642480466,1.618196139210149,0.547874561929146,0.5460873739798368,0.4006677796327212
17,1.4044266760799513,1.431221054176909,1.6892212096013521,0.5545386864229812,0.5343254920787326,0.3672787979966611
18,1.3848812436205507,1.4468127343796493,1.5752981524718435,0.5692832888453088,0.5304848775804129,0.4240400667779633
19,1.3688484570926043,1.4665046837645621,1.5889090205493726,0.5826841713424489,0.5246039366298608,0.4307178631051753
20,1.3527502874902761,1.4300320839470042,1.5169698721484135,0.5908735995351455,0.5337253960633701,0.4741235392320534
21,1.3371298555230624,1.3890469851054523,1.49219989149194,0.6016415173140128,0.5746519443110898,0.5242070116861436
22,1.3211995312323894,1.3499008111670012,1.4431899221319902,0.6126091772439215,0.6008161305808929,0.5308848080133556
