Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.803949818023757,1.768383105519637,1.7864791123490584,0.2950009987107552,0.4129860777724436,0.2704507512520868
2,1.7542637283202176,1.7532873375630882,1.8010567269827191,0.3494216556808484,0.392822851656265,0.2587646076794658
3,1.7427622769406754,1.741157563542679,1.805637538433075,0.36347623976321475,0.38634181469035045,0.28213689482470783
4,1.7268896495998078,1.743059502224547,1.7669725982766402,0.3746799585988996,0.3984637542006721,0.31886477462437396
5,1.7168527249331256,1.7032546493691354,1.8038047552108765,0.3830328121879029,0.4152664426308209,0.2904841402337229
6,1.7115046642396008,1.7239390469787217,1.7805629403967607,0.386591854151913,0.4186269803168507,0.3071786310517529
7,1.7059571984062216,1.7228814793639815,1.775105987724505,0.39294728623050246,0.4018242918867019,0.3088480801335559
8,1.6974860789954558,1.7097590672077465,1.7270574067768298,0.40099144740425996,0.40338454152664427,0.32220367278797996
9,1.6976205758546965,1.6934810194996635,1.7549276508783038,0.400446696083238,0.4324291886701872,0.3038397328881469
10,1.6804073418662133,1.6514959655659212,1.66312732508308,0.4073468794828494,0.40902544407105135,0.3639398998330551
11,1.6435006818128561,1.6762199154742161,1.6674390341106213,0.41976720960214997,0.39090254440710515,0.34390651085141904
12,1.6310244586701867,1.7507231171437738,1.7013790513339795,0.43024459334313886,0.34253480556889104,0.3121869782971619
13,1.6202570378330126,1.7672561951653742,1.6609812943558944,0.4413212035372519,0.335453672587614,0.31385642737896496
14,1.6074364242478902,1.838650723565334,1.7291876830552753,0.4427012402171742,0.2758041286605857,0.2838063439065108
15,1.5960452437816424,1.8877937233150577,1.6448554835821454,0.44547947195438614,0.20367258761401824,0.2921535893155259
16,1.5674935415828735,1.8756590988951773,1.7176641319927417,0.4507454013909317,0.2199951992318771,0.2604340567612688
17,1.5305169317903802,1.7642170312079724,1.6645198307539288,0.45361442501498067,0.32969275084013444,0.3105175292153589
18,1.5103370472485766,1.7202779815430376,1.5769863724708557,0.47097383377821356,0.38322131541046567,0.38564273789649417
19,1.4832046843073798,1.8320214615673571,1.7396389214616073,0.4916743839770478,0.2456793086893903,0.2654424040066778
20,1.4674408312525464,1.8687327873683937,1.7166574973809092,0.500027237566051,0.2031925108017283,0.25542570951585974
21,1.4571805552713126,1.8088430573523846,1.6140824148529453,0.5089248424760764,0.25372059529524726,0.33889816360601
22,1.4397352307705877,1.8958028369581401,1.7148096373206692,0.5266111020319224,0.19083053288526164,0.24207011686143573
23,1.4256045785253648,1.8008528419282295,1.7109471434041073,0.5369795355087069,0.3299327892462794,0.31552587646076796
24,1.4159723575692895,1.8042693990434657,1.658313970816763,0.5491274899674965,0.3204512722035526,0.32053422370617696
25,1.3902534588799098,1.8328132118007272,1.6130547178419012,0.5618020373699406,0.26176188190110417,0.3005008347245409
26,1.380326465023319,1.7916800146368324,1.6291554695681523,0.5679214105427539,0.32789246279404705,0.327212020033389
27,1.3621877006394165,1.7085472545559712,1.5320813122548556,0.5784714277932124,0.40050408065290444,0.39065108514190316
28,1.3546506962168017,1.8323123925249316,1.646547352012835,0.5798514644731346,0.25360057609217473,0.2904841402337229
