Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.7068482074953664,1.3877343062361462,1.9182370430544804,0.318370830382597,0.45247239558329333,0.2604340567612688
2,1.4248586805111998,1.146657205088468,1.8066209335076182,0.46650687294583354,0.5559289486317811,0.3739565943238731
3,1.3012517352806559,1.125949453798457,1.5326758152560185,0.5192932759528609,0.564210273643783,0.4507512520868113
4,1.2294893374386255,1.017394834589535,1.5283435206664235,0.5517786130631367,0.6107777244359097,0.5125208681135225
5,1.1768156928180749,1.0378021283250396,1.399568088744816,0.5723520546203992,0.6002160345655305,0.5258764607679466
6,1.1335944141986964,0.964569234966717,1.3529964685440063,0.5904196401009606,0.6325012001920307,0.5609348914858097
7,1.1005351186699122,0.9544904160808464,1.1843638780869936,0.6035118301828548,0.636221795487278,0.6043405676126878
8,1.0699371365285903,0.8958843614595036,1.2407175302505493,0.6167856040384231,0.6571051368218915,0.6193656093489148
9,1.04024688513351,0.9162573948245131,1.190688282251358,0.6281345898930472,0.6529044647143543,0.6327212020033389
10,1.018102666195363,0.8640145393170688,1.2785941331010116,0.6336184198580015,0.6724675948151704,0.6143572621035058
11,1.0036244365077667,0.8441095827057986,1.241585069581082,0.6408999291823283,0.6841094575132021,0.6310517529215359
12,0.9787514448979786,0.8363777971299161,1.1374299902664988,0.6514317880554193,0.6837493999039846,0.664440734557596
13,0.9648321663602571,0.8722490601513299,1.0819687976648933,0.6568611428882715,0.6724675948151704,0.659432387312187
14,0.9444195266157164,0.8616563300968589,1.039365109644438,0.6644695030052115,0.6728276524243879,0.656093489148581
15,0.9280400408225168,0.8438149784082072,1.0099692768172215,0.6708249350838009,0.6856697071531445,0.6961602671118531
16,0.9177068499702136,0.818975556480936,1.0940178413140147,0.6716602204427012,0.6943110897743638,0.669449081803005
17,0.9049363274263615,0.818763344175041,1.0218284192838167,0.6766900909734707,0.6901104176668267,0.667779632721202
18,0.8859115969054163,0.7976304357424522,1.0185667731259997,0.6840079170525322,0.7027124339894383,0.6878130217028381
19,0.8738575553665461,0.7888198933544464,1.0140567947375148,0.6897278059232627,0.701392222755641,0.7061769616026711
20,0.8595607605249227,0.8660525392934022,0.9843864142894745,0.6956292785676672,0.6723475756120979,0.6844741235392321
21,0.8487940853475693,0.7887945874967753,0.9998708743798105,0.6973543244175701,0.7021123379740759,0.7128547579298832
22,0.8323888485728482,0.7578498041275138,0.9245217344478557,0.7012220587968259,0.7135141622659625,0.7195325542570952
23,0.827149869202009,0.8464409791361255,1.0806476348324825,0.706742205516515,0.6778684589534325,0.664440734557596
24,0.8114994669821219,0.7345377448838983,1.001407962096365,0.7104646728768317,0.720715314450312,0.7078464106844741
25,0.7998038148989101,0.7640212964456021,1.0939531114540602,0.7148045250676399,0.721195391262602,0.7095158597662772
26,0.7902157802929164,0.7579933437965667,0.934092152667673,0.718000399484302,0.7166346615458473,0.7312186978297162
27,0.7743243918186492,0.7656769515882155,1.112477702529807,0.7237384467324,0.7159145463274124,0.6911519198664441
28,0.7686036863363738,0.7788425557665712,0.9738521026937585,0.7249550580160157,0.7155544887181949,0.7078464106844741
29,0.7598007956929916,0.7575455521735687,0.9854743065018403,0.7304933631130722,0.7163946231397024,0.7078464106844741
30,0.7443509921085204,0.7652778942245211,0.9479208514094353,0.7366672114179877,0.7126740278444551,0.7412353923205343
31,0.7385437188671121,0.7402709803585099,0.9248495772480965,0.735632183908046,0.7270763322131542,0.7228714524207012
32,0.7254891401196828,0.7614904197751617,0.9898298398444527,0.742151041382942,0.7181949111857897,0.7328881469115192
33,0.712407061435122,0.743084690985833,1.0347382002755214,0.7451290152711953,0.7270763322131542,0.7245409015025042
34,0.7031637094676806,0.7783118316871535,0.9051103039007438,0.7504131030851083,0.7144743158905424,0.7262103505843072
35,0.6938556820600099,0.7398520579817214,1.0512764402910282,0.754226362332262,0.7331973115698511,0.7061769616026711
36,0.6801646702004546,0.7255073719534615,0.9523902233493956,0.7580033048246808,0.7341574651944311,0.7545909849749582
37,0.6696971578611183,0.7411334093717319,1.1087967486757981,0.7623249986381216,0.7300768122899663,0.7278797996661102
38,0.660638685081152,0.7441669298128551,0.9657613019409933,0.7655571898095186,0.729476716274604,0.7395659432387313
39,0.6518624739776615,0.744059395785095,0.9427701901448401,0.7681175210183218,0.7257561209793567,0.7161936560934892
40,0.6384533517222845,0.7492413523422836,0.9616125147593649,0.7718581467560058,0.7283965434469515,0.7445742904841403
41,0.6353213934531952,0.7483932163585121,1.15364996539919,0.7729658077754172,0.742438790206433,0.7429048414023373
42,0.6236228769204597,0.7683152834529097,1.1236225060726468,0.7748542790216266,0.7366778684589534,0.7479131886477463
43,0.6075396536590227,0.7513012101984584,1.1482169416389967,0.7836247752900801,0.7359577532405185,0.7412353923205343
44,0.5979195274520862,0.7366645982325427,1.076495750170005,0.7872019756314576,0.7437590014402304,0.7395659432387313
45,0.5866366307673795,0.8350055976725012,1.110490849927852,0.7912149770296526,0.7178348535765723,0.7061769616026711
46,0.5849618155678072,0.800645399904826,0.9244860002869054,0.7895080895571172,0.7192750840134422,0.7495826377295493
47,0.570902966817907,0.7740252088874242,1.211515481926893,0.796426431334096,0.7405184829572732,0.7178631051752922
48,0.5591721172784907,0.7806940477575138,1.340208583756497,0.80107497594015,0.7397983677388382,0.7111853088480802
49,0.5485843648243304,0.7425082803472801,1.2252681447487128,0.8048156016778341,0.7473595775324052,0.7345575959933222
50,0.5387077060566521,0.7529177761979887,1.0918690746552067,0.8076664669245156,0.7305568891022564,0.7312186978297162
51,0.5303424816321038,0.761526438350342,1.1461604178736085,0.812423961794774,0.7357177148343735,0.7445742904841403
52,0.5211876802761184,0.796426436168476,0.9891717239822212,0.8130958217573677,0.7352376380220835,0.7595993322203672
53,0.5095223864894372,0.7796514054113237,1.114554147971304,0.8192878284396506,0.743398943831013,0.7679465776293823
54,0.4964756754176655,0.7699490277205671,1.0777401516312046,0.8208857656479817,0.742438790206433,0.7545909849749582
55,0.49364325108806417,0.8178449579748734,0.9831197904913049,0.8259701113108533,0.7324771963514163,0.7595993322203672
56,0.4794865822357833,0.7758844125651237,0.9037003685769281,0.8278767409344301,0.7333173307729237,0.7646076794657763
57,0.4681263786872101,0.7982490807628677,1.0298072931013609,0.8321439596157687,0.7413586173787806,0.7629382303839732
58,0.45688658747724636,0.827633033326028,1.1067249410246547,0.8369196128633946,0.7407585213634181,0.7495826377295493
59,0.4554927038512626,0.8014799243233822,1.1886581602065187,0.8381362241470103,0.7473595775324052,0.7562604340567612
60,0.4395955520352475,0.8120110254406736,1.1389848407554,0.8450000907918869,0.7469995199231877,0.7495826377295493
61,0.43584787512803097,0.8237967262823929,0.9994921507804018,0.8435655789798624,0.7381180988958234,0.7746243739565943
62,0.4179762929271017,0.8221927919852299,1.0528637170791626,0.8504112872473716,0.7385981757081133,0.7595993322203672
