Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.7479607328157796,1.760554409346818,2.5768687097649825,0.2774963229285831,0.36089774363898225,0.1669449081803005
2,1.5257427502620504,1.324340771783814,1.5943080814261186,0.4271576691906811,0.4873979836773884,0.3789649415692821
3,1.3698529471913303,1.1957813545319311,1.6530878167403371,0.49000381325924713,0.5361257801248199,0.4056761268781302
4,1.2840503291776193,1.0895598913289577,1.680890491134242,0.5241052459552215,0.586893903024484,0.4373956594323873
5,1.2283212848003349,1.0758025602819363,1.3436079652685868,0.5497811915527229,0.5992558809409505,0.5292153589315526
6,1.179417786731199,0.9898716282113759,1.344291417222274,0.5692651304679414,0.6232597215554488,0.5392320534223706
7,1.1469927999877707,0.9416992079709224,1.4362724831229763,0.584518167456556,0.6446231397023524,0.5475792988313857
8,1.1157026610909195,0.942853805691118,1.3143801124472367,0.5962303208585281,0.6443831012962074,0.5792988313856428
9,1.0868576870866462,0.9518639062213715,1.1415121429844906,0.6078879991283979,0.6401824291886702,0.6076794657762938
10,1.0627211655453843,0.9399952613302575,1.1743992002386796,0.615369250603766,0.6464234277484397,0.6043405676126878
11,1.0401376140526324,0.8659790947862055,1.2394494006508274,0.6232136696264822,0.6745079212674028,0.6227045075125208
12,1.022798155436053,0.9366847031189565,1.1443923649035002,0.6337092117448385,0.6513442150744119,0.6160267111853088
13,1.0043845896731969,0.8991663774254222,1.2444992441880076,0.6399193768044887,0.664786365818531,0.6060100166944908
14,0.9889583200787749,0.8511119120079895,1.175358678165235,0.6450945143541973,0.678948631781085,0.6360601001669449
15,0.9709998031538077,0.8588031374232066,1.0882800974343951,0.6510141453759692,0.6781084973595776,0.6460767946577629
16,0.9570899172656278,0.8370547109494035,1.1389892164029574,0.6568429845109041,0.686029764762362,0.6510851419031719
17,0.9438509696760128,0.8544023094905747,1.1057271329980147,0.6613281037206515,0.6794287085933749,0.659432387312187
18,0.9322914548352456,0.8099545361438474,1.1421494044755633,0.6639610684389243,0.6932309169467115,0.6427378964941569
19,0.9173916261047904,0.7992337600424372,1.0359399867685217,0.6711881026311489,0.699711953912626,0.6828046744574291
20,0.906162260265838,0.8032690731102022,1.0574876070022583,0.6763087650487553,0.6964714354296687,0.672787979966611
21,0.893851894181804,0.8533238387770123,1.0229879962770563,0.6799222821448675,0.6776284205472876,0.674457429048414
22,0.8802938039118574,0.8182470120803607,1.0866078812825053,0.6851337364493109,0.6959913586173788,0.679465776293823
23,0.8711015487015075,0.8006434219807272,1.2243921411664862,0.6856058542608633,0.701392222755641,0.659432387312187
24,0.8606518433580282,0.7737181396633958,1.0132958920378434,0.6926694630567812,0.706553048487758,0.6911519198664441
25,0.8540873957677749,0.7773367176224902,1.001125693321228,0.6955929618129324,0.7120739318290926,0.7028380634390651
26,0.837791216470418,0.7887136780753218,0.9482736916918504,0.7036552813640573,0.7053528564570332,0.6994991652754591
27,0.8274428476122214,0.7770393315231663,0.9217150242705094,0.7034736975903834,0.7073931829092654,0.6961602671118531
28,0.8211767401271335,0.786557009622055,0.9870713321786178,0.7062882460823301,0.7126740278444551,0.6911519198664441
29,0.8116275085778101,0.7859407008493541,0.9726712170400118,0.7103012474805251,0.7099135861737879,0.7028380634390651
30,0.7995684160388257,0.7613533222583976,0.9274632413136331,0.7144595158976594,0.7168746999519923,0.7161936560934892
31,0.7899173674093022,0.7650898534847402,0.9482781824312712,0.7171287973706669,0.7147143542966875,0.7245409015025042
32,0.781398944335923,0.7935578734025188,0.8189594620152524,0.7218136587314558,0.7028324531925108,0.7295492487479132
33,0.7705806898627428,0.775741845768987,0.9132821465793409,0.725881135261753,0.7156745079212674,0.7028380634390651
34,0.7590337756551468,0.7717224876057371,0.9896622017810219,0.728386991338454,0.7190350456072971,0.6828046744574291
35,0.7536680673458491,0.750600881246543,1.1362981451185126,0.7317462911514228,0.7280364858377341,0.7128547579298832
36,0.744706386816079,0.7402252261401993,1.1682829511793036,0.7317281327740554,0.7347575612097935,0.7078464106844741
37,0.7318925282277734,0.7608335957045299,0.8617024327579298,0.7397722939478129,0.7166346615458473,0.7462437395659433
38,0.7209304480411368,0.7442938499580855,1.0467383140011837,0.7413157560240416,0.7276764282285165,0.7095158597662772
39,0.7169381848762092,0.8022187500692533,1.0139646796803725,0.7430408018739445,0.7042726836293807,0.7028380634390651
40,0.7085594298931694,0.8368607972288269,0.825268102319617,0.7462911514227089,0.6943110897743638,0.7161936560934892
41,0.6942536311223021,0.7703105961597058,1.00696746142287,0.7528826424070745,0.7233557369179069,0.7278797996661102
42,0.6881128117693226,0.7638333528891377,0.8913672331132387,0.7530823845581159,0.7269563130100816,0.7312186978297162
43,0.6785015782286163,0.7465734054259527,0.9437931085887709,0.7566232681447586,0.7357177148343735,0.7195325542570952
44,0.6747501894424711,0.7255966943542391,0.9803023401059603,0.7592925496177662,0.7373979836773884,0.7479131886477463
45,0.6635026812449505,0.7401086787454128,1.171387769674,0.7604910025240145,0.7388382141142583,0.7278797996661102
46,0.6578000285540951,0.7654601346908344,0.9774923606922752,0.7654119227905795,0.7311569851176188,0.7378964941569283
47,0.6489028792215737,0.7447247962142658,0.9804231022533617,0.7659748324889688,0.7354776764282285,0.7362270450751253
48,0.6366703975675135,0.7692236304996799,1.0068841937341189,0.7721668391712516,0.7273163706192991,0.7128547579298832
49,0.6224464847641861,0.7374700779430711,1.172804223863702,0.7782317372119627,0.7383581373019683,0.7095158597662772
50,0.617705302415789,0.7682501152443246,1.103628535019724,0.7772693432114907,0.729476716274604,0.7378964941569283
51,0.6099338970909557,0.7811250245748124,0.9736236710297433,0.7799386246844981,0.7231156985117618,0.7429048414023373
52,0.6038335891638572,0.8145044641961768,1.0469486478127932,0.7815184035154619,0.7227556409025444,0.7278797996661102
53,0.5938973709949569,0.7689061003783539,1.3383504089556242,0.7885638539340124,0.7377580412866058,0.6994991652754591
54,0.5830836180751231,0.839912090621803,1.0173185530461764,0.7904886419349567,0.7149543927028325,0.7128547579298832
55,0.5729199450491197,0.7473735644917407,1.1602388494893123,0.7929944980116577,0.7412385981757081,0.7378964941569283
56,0.5674143419024696,0.8172681186048464,0.913060105160663,0.7969893410324853,0.7193951032165147,0.7161936560934892
57,0.5570243357365247,0.8432674755367283,0.9572589115092629,0.800439432732291,0.7028324531925108,0.7378964941569283
58,0.5491146981577621,0.81616871924607,1.3310874982884056,0.8023097456011331,0.7276764282285165,0.7295492487479132
59,0.5429069476201048,0.7836315117747847,1.0187546265752692,0.8058687875651431,0.728996639462314,0.7262103505843072
60,0.5309877149730419,0.7741315427068549,1.3225283748225163,0.8085199106607833,0.7383581373019683,0.7195325542570952
61,0.52884392727779,0.7888087001682698,0.9497274238812295,0.8099725808501752,0.7348775804128661,0.7395659432387313
62,0.5213457788321807,0.7630278704816411,1.0321425670071651,0.8121697445116305,0.7299567930868939,0.7278797996661102
63,0.507523158135489,0.8279841853255742,1.0070503542297764,0.8176535744765848,0.719995199231877,0.7512520868113522
64,0.5035345044889677,0.8079423876729048,1.1850044570471112,0.8185978100996895,0.7317570811329813,0.7278797996661102
65,0.4968138186824938,0.7588926287532081,1.020639673659676,0.8215213088558406,0.7390782525204033,0.7545909849749582
66,0.48648355877430616,0.7744900798032567,1.179594359899822,0.8245537578761962,0.742438790206433,0.7345575959933222
67,0.4778152341450598,0.8087080659137832,1.169169987502851,0.8295291532748633,0.7357177148343735,0.7395659432387313
68,0.47251409315598836,0.8189875507705856,1.2641305641124123,0.830654972671642,0.7393182909265482,0.7228714524207012
69,0.46832070119553426,0.7691727974255823,1.216390090553384,0.8325252855404841,0.7439990398463754,0.7395659432387313
70,0.4535198145562795,0.85173969140626,1.0583097338676453,0.8364656534292095,0.7343975036005761,0.7412353923205343
71,0.44977535445076444,0.8053183039557545,1.0792848546254008,0.8390804597701149,0.7361977916466634,0.7445742904841403
72,0.4395271359441206,0.8223752857424975,1.1409705328313928,0.8421673839225727,0.7420787325972156,0.7479131886477463
73,0.4294002729920992,0.7979237786868866,1.2011740097874088,0.8436563708666993,0.7449591934709554,0.7579298831385642
74,0.42379184807112297,0.9570902121107012,0.9425580234904039,0.8479417479254053,0.7084733557369179,0.7495826377295493
75,0.4173418809851888,0.9488187520354415,0.9807219866075014,0.8505020791342086,0.7156745079212674,0.7362270450751253
76,0.4084159552765267,0.9074891407428116,0.9983715791451303,0.8537705870603403,0.7281565050408065,0.7612687813021702
77,0.39874681032098774,0.8646821555560205,1.3892527661825482,0.8566396106843892,0.7397983677388382,0.7345575959933222
78,0.39292888532953857,0.8360430196041805,1.1360351960909993,0.8579288554774746,0.7419587133941431,0.7712854757929883
79,0.38660361069724836,0.8563330238720694,1.2434654533863068,0.8635216357066332,0.7456793086893903,0.7429048414023373
