Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5900833366881408,1.2585296585669674,1.6070107158861662,0.37536997693886076,0.5202832453192511,0.41068447412353926
2,1.2896765631032088,1.061947813733068,1.3711387311157428,0.5241415627099563,0.5970955352856457,0.5008347245409015
3,1.1730529382469903,0.9503287195787549,1.4000694438030845,0.5722794211109296,0.6443831012962074,0.5659432387312187
4,1.0950099608619015,0.9431705763867401,1.1539093632447093,0.6089230266383396,0.6385021603456553,0.6043405676126878
5,1.0418349696168505,0.8593833034432666,1.2211419845882214,0.6280256396288427,0.6802688430148823,0.6377295492487479
6,0.9999048463796751,0.8406450378524422,1.1406412140319222,0.6426976085417007,0.6835093614978397,0.6527545909849749
7,0.9568883544359008,0.8356990613214915,1.0592316467511027,0.6616004793811625,0.6897503600576093,0.666110183639399
8,0.9266534337101808,0.8320058339960058,0.9671425380204853,0.67097020210274,0.6836293807009122,0.67779632721202
9,0.8968453022853224,0.8145961779922304,1.053487368320164,0.6812478436926876,0.6963514162265962,0.662771285475793
10,0.8652462755340189,0.7741061326674045,0.9883695456542467,0.6947213596992973,0.7101536245799328,0.6844741235392321
11,0.8405506523939705,0.7805963352737294,0.9878319235224473,0.7037097564961595,0.7088334133461354,0.7045075125208681
12,0.8134172847110265,0.7694785751513207,1.072016332494585,0.7111728495941603,0.7117138742198752,0.7178631051752922
13,0.7902565358043202,0.7724035184565867,0.9760278290823886,0.7205788890704726,0.7171147383581373,0.6861435726210351
14,0.766384629429876,0.795930189482739,1.0184132801859003,0.7276788146211255,0.7130340854536726,0.7095158597662772
15,0.7459634778797107,0.7607292667542532,0.9948138720110843,0.737956456211073,0.7196351416226596,0.7061769616026711
16,0.7186089023722596,0.749777180521665,0.9389174808012811,0.745201648780665,0.7323571771483437,0.7195325542570952
17,0.698027874185622,0.7818377210871243,0.9772919451719836,0.7536271358791379,0.7197551608257321,0.7312186978297162
18,0.6719140348472199,0.7574811919561932,0.9944912587341509,0.7624157905249587,0.7304368698991839,0.7295492487479132
19,0.6523053648273901,0.7746885766484373,1.1485653135337328,0.7696972998492855,0.7274363898223716,0.7061769616026711
20,0.6339057343386932,0.7658507986612718,1.0944735333323479,0.7757621978899966,0.7337974075852136,0.7028380634390651
21,0.6150755221776357,0.7911293982240352,1.038906744436214,0.7831163407237929,0.7205952952472395,0.7195325542570952
22,0.5924977996299462,0.7758077055880811,0.9645180243410563,0.7919231537469812,0.7273163706192991,0.7412353923205343
23,0.5712016509009232,0.8023220673882744,1.0931166939829524,0.7982422690708358,0.7288766202592415,0.7295492487479132
24,0.5580926508811032,0.7989050978580186,1.0048271856809918,0.803036080695829,0.7204752760441671,0.7395659432387313
25,0.540642433214818,0.8203884642481832,1.1141033886294616,0.8079206842076592,0.7377580412866058,0.7362270450751253
26,0.513866092396044,0.7859077175146044,1.0790550979344469,0.8188157106280983,0.7402784445511282,0.7545909849749582
27,0.5060120488342195,0.8415446225013012,1.021614900937206,0.8216302591200451,0.7312770043206913,0.7429048414023373
28,0.48574067241815827,0.8180788865799152,1.1837973716227632,0.8284941257649217,0.7298367738838214,0.7245409015025042
29,0.47441971697398116,0.8390298400805135,1.012948324609744,0.8328884530878321,0.7298367738838214,0.7429048414023373
30,0.4602670825050277,0.8484974997994024,1.0770033929300935,0.8380454322601733,0.7355976956313011,0.7479131886477463
31,0.43694601248341514,0.886995493287789,1.0661900486601026,0.8452543080750304,0.7336773883821411,0.7729549248747913
32,0.4194013156226248,0.8539670380748515,1.0943707000268132,0.8536071616640337,0.7354776764282285,0.7562604340567612
33,0.4090562274247702,0.8718304770226987,1.1711232609262592,0.8556953750612846,0.7352376380220835,0.7562604340567612
34,0.39513451069915956,0.8900264103386566,1.2392594864297855,0.8607978791015235,0.7372779644743159,0.7479131886477463
35,0.3786179055900836,0.9012718100195497,1.1538301114188998,0.8679522797842785,0.7370379260681709,0.7462437395659433
36,0.370007623608545,0.9380036542715412,1.2792755279101824,0.8702402353325707,0.7382381180988958,0.7312186978297162
37,0.3620142437753585,0.9207448518196847,1.3263510122503106,0.8732726843529263,0.7328372539606337,0.7395659432387313
38,0.35067761716265655,0.8941803946492267,1.260907480591222,0.8774309527700604,0.7407585213634181,0.7362270450751253
39,0.3342149182929528,0.9850314189058741,1.2797876757226492,0.8828058324708105,0.7395583293326933,0.7746243739565943
40,0.31927492931990614,0.9559881120582554,1.7691503433804763,0.8876541192279058,0.7447191550648103,0.7195325542570952
41,0.31570135044093084,0.9651537219548666,1.263148390933087,0.8891612645493998,0.7306769083053288,0.7462437395659433
42,0.3046186606609141,0.9707964321812025,1.256725147170456,0.8943000853443737,0.7322371579452712,0.7545909849749582
43,0.2924702446656123,0.9347704090443913,1.3130100036137982,0.8986217791578145,0.7389582333173308,0.7429048414023373
44,0.2853540160045469,0.9884252927057474,1.5175122173601074,0.9001833996114107,0.7463994239078252,0.7378964941569283
45,0.2642231588205891,1.016653838651619,1.4576858510508348,0.9087904704835575,0.743398943831013,0.7429048414023373
46,0.27021438314174645,1.0184566263954518,1.4358765439767587,0.9058306549726717,0.7382381180988958,0.7512520868113522
47,0.2606059790097549,1.0393473325223945,1.3952716663479805,0.9092989050498448,0.7371579452712435,0.7562604340567612
48,0.25074246953491,0.9906179487281577,1.1422261444753723,0.9146374679958599,0.735357657225156,0.7646076794657763
49,0.23559080778671465,1.0905890567831502,1.5416059058747793,0.9195402298850575,0.7345175228036486,0.7595993322203672
50,0.23904109564850637,1.0296914798568222,1.5230046349920725,0.9163625138457627,0.7370379260681709,0.7429048414023373
51,0.22850668429584284,1.071831007413441,1.4382517788755267,0.9210836919612864,0.7471195391262602,0.7479131886477463
52,0.22069539093977422,1.1085333946288225,1.5466546215313046,0.9232626972453741,0.7390782525204033,0.7545909849749582
53,0.21770481776850886,1.066074567133938,1.5478280547418093,0.9256596030578708,0.7388382141142583,0.7378964941569283
54,0.20799685289319184,1.0729047144453028,1.6124054752290249,0.9294183871729222,0.7375180028804609,0.7278797996661102
