,happiness,surprise,sadness,anger,disgust,fear
Counts,17138.0,8619.0,9970.0,7996.0,3729.0,7619.0
Weights,0.5355642437934875,1.0649147033691406,0.9206117987632751,1.1478865146636963,2.461383819580078,1.2046856880187988
